"Postcode","Include","Confirmed","Population","Cases.per.100K","Semi.detached.Persons","Flat.Persons","House.Persons","Dwelling.persons","Semi.detached.Percent","Flat.Percent","House.Percent"
"3132","Yes",7,16148,43.35,4000,558,10864,15471,25.855,3.607,70.222
"3133","Yes",21,22125,94.92,2150,127,19031,21349,10.071,0.595,89.142
"3134","Yes",21,32781,64.06,1831,646,28340,30915,5.923,2.09,91.671
"3135","Yes",10,19956,50.11,1002,315,17541,18935,5.292,1.664,92.638
"3136","Yes",41,44369,92.41,2281,600,38749,41727,5.466,1.438,92.863
"3137","Yes",69,13871,497.44,1042,56,11742,12877,8.092,0.435,91.186
"3138","Yes",23,21967,104.7,655,33,20077,20831,3.144,0.158,96.38
"3139","Yes",8,13718,58.32,36,13,12755,12872,0.28,0.101,99.091
"3140","Yes",20,16531,120.98,1819,102,13510,15566,11.686,0.655,86.792
"3141","Yes",49,25147,194.85,3941,16041,2167,22236,17.724,72.14,9.745
"3142","Yes",24,12909,185.92,2343,4723,4649,11736,19.964,40.244,39.613
"3143","Yes",26,9054,287.17,1669,3472,3070,8264,20.196,42.014,37.149
"3144","Yes",18,10886,165.35,1834,2303,5758,10074,18.205,22.861,57.157
"3145","Yes",28,23295,120.2,4670,2976,14033,21960,21.266,13.552,63.903
"3146","Yes",22,25255,87.11,3945,3979,16029,24021,16.423,16.565,66.729
"3147","Yes",21,14637,143.47,1769,1534,10264,13665,12.945,11.226,75.112
"3148","Yes",16,8641,185.16,2113,727,5340,8209,25.74,8.856,65.051
"3149","Yes",25,33611,74.38,2427,5967,23927,32446,7.48,18.391,73.744
"3150","Yes",58,60079,96.54,4534,2829,50656,58120,7.801,4.868,87.158
"3151","Yes",7,10273,68.14,1616,128,8196,9962,16.222,1.285,82.273
"3152","Yes",23,33092,69.5,3172,251,28003,31628,10.029,0.794,88.539
"3153","Yes",9,20554,43.79,3854,1026,14247,19194,20.079,5.345,74.226
"3154","Yes",1,4419,22.63,129,65,3868,4073,3.167,1.596,94.967
"3155","Yes",10,22195,45.06,3710,316,16820,20904,17.748,1.512,80.463
"3156","Yes",15,37464,40.04,1626,273,33448,35441,4.588,0.77,94.377
"3158","Yes",3,6652,45.1,32,38,6253,6326,0.506,0.601,98.846
"3159","Yes",3,2648,113.29,11,0,2395,2413,0.456,0,99.254
"3160","Yes",7,9014,77.66,76,9,8452,8564,0.887,0.105,98.692
"3161","Yes",18,15269,117.89,3508,3406,6982,13985,25.084,24.355,49.925
"3162","Yes",9,17448,51.58,5058,1807,9260,16229,31.166,11.134,57.058
"3163","Yes",29,32353,89.64,8486,8235,13776,30667,27.671,26.853,44.921
"3165","Yes",19,27635,68.75,3637,2986,19709,26458,13.746,11.286,74.492
"3166","Yes",17,23757,71.56,4148,2288,15940,22472,18.459,10.182,70.933
"3167","Yes",15,9261,161.97,651,172,8088,8928,7.292,1.927,90.591
"3168","Yes",20,20197,99.02,7718,3157,8088,19068,40.476,16.557,42.417
"3169","Yes",18,20122,89.45,4630,977,13673,19335,23.946,5.053,70.716
"3170","Yes",20,19368,103.26,3165,86,15123,18404,17.197,0.467,82.172
"3171","Yes",14,21714,64.47,3563,1209,15703,20657,17.248,5.853,76.018
"3172","Yes",13,23089,56.3,2167,277,19607,22159,9.779,1.25,88.483
"3173","Yes",32,25785,124.1,1588,322,23121,25071,6.334,1.284,92.222
"3174","Yes",25,38461,65,3687,4845,27665,36313,10.153,13.342,76.185
"3175","Yes",191,53297,358.37,11250,4830,32459,49281,22.828,9.801,65.865
"3177","Yes",32,11306,283.04,1379,108,8804,10553,13.067,1.023,83.427
"3178","Yes",30,33672,89.09,934,407,31079,32769,2.85,1.242,94.843
"3179","Yes",9,6022,149.45,120,3,5705,5842,2.054,0.051,97.655
"3180","Yes",3,7462,40.2,1018,8,6105,7140,14.258,0.112,85.504
"3181","Yes",61,20260,301.09,5594,8909,2520,17211,32.502,51.763,14.642
"3182","Yes",45,23391,192.38,3121,13715,1859,19403,16.085,70.685,9.581
"3183","Yes",34,18497,183.81,3176,9058,4392,16766,18.943,54.026,26.196
"3184","Yes",10,15543,64.34,2474,8592,2782,13908,17.788,61.777,20.003
"3185","Yes",24,12929,185.63,2250,3636,5926,11937,18.849,30.46,49.644
"3186","Yes",48,23253,206.42,3979,2890,14027,21124,18.836,13.681,66.403
"3187","Yes",12,15998,75.01,3346,573,10844,14819,22.579,3.867,73.176
"3188","Yes",8,18083,44.24,3138,1657,11940,16870,18.601,9.822,70.777
"3189","Yes",5,5895,84.82,420,436,4636,5503,7.632,7.923,84.245
"3190","Yes",56,10454,535.68,2690,748,6297,9834,27.354,7.606,64.033
"3191","Yes",7,10241,68.35,2117,1158,5831,9165,23.099,12.635,63.622
"3192","Yes",20,22291,89.72,4014,2431,14334,20973,19.139,11.591,68.345
"3193","Yes",16,19508,82.02,3379,629,14109,18311,18.453,3.435,77.052
"3194","Yes",6,12965,46.28,3828,1601,6534,12077,31.697,13.257,54.103
"3195","Yes",29,35869,80.85,7830,2839,22865,33753,23.198,8.411,67.742
"3196","Yes",51,25327,201.37,5089,4440,13472,23288,21.852,19.066,57.85
"3197","Yes",8,11548,69.28,3339,678,6718,10788,30.951,6.285,62.273
"3198","Yes",11,16463,66.82,2506,401,12172,15149,16.542,2.647,80.349
"3199","Yes",48,54298,88.4,6204,1415,42000,49824,12.452,2.84,84.297
"3200","Yes",16,5762,277.68,247,21,4803,5094,4.849,0.412,94.287
"3201","Yes",19,20711,91.74,3054,81,15740,19191,15.914,0.422,82.018
"3202","Yes",0,2907,0,236,144,2263,2644,8.926,5.446,85.59
"3204","Yes",36,30635,117.51,5793,3618,19636,29216,19.828,12.384,67.21
"3205","Yes",14,10920,128.21,4241,4633,626,9632,44.03,48.1,6.499
"3206","Yes",17,10359,164.11,6018,1530,1748,9362,64.281,16.343,18.671
"3207","Yes",35,16175,216.38,7446,6143,904,14567,51.116,42.171,6.206
"3335","Yes",27,5856,461.07,159,12,5050,5430,2.928,0.221,93.002
"3337","Yes",161,36454,441.65,4275,47,29833,34228,12.49,0.137,87.16
"3427","Yes",11,2763,398.12,23,8,2546,2588,0.889,0.309,98.377
"3428","No",0,675,0,0,8,564,580,0,1.379,97.241
"3429","Yes",84,36297,231.42,835,1533,31729,34157,2.445,4.488,92.892
"3752","Yes",77,24060,320.03,3056,75,19871,23030,13.27,0.326,86.283
"3765","Yes",14,6761,207.07,203,69,5890,6163,3.294,1.12,95.57
"3766","No",1,1239,80.71,3,0,1129,1142,0.263,0,98.862
"3767","No",2,1251,159.87,15,0,1122,1141,1.315,0,98.335
"3770","Yes",1,3218,31.08,8,7,2963,3007,0.266,0.233,98.537
"3775","Yes",3,3861,77.7,65,0,3493,3573,1.819,0,97.761
"3777","Yes",10,10751,93.01,517,20,9054,9709,5.325,0.206,93.254
"3781","Yes",1,4477,22.34,0,0,4091,4114,0,0,99.441
"3782","Yes",2,7827,25.55,0,8,7163,7198,0,0.111,99.514
"3786","Yes",2,1518,131.75,4,0,1380,1385,0.289,0,99.639
"3787","No",0,1062,0,3,0,940,957,0.313,0,98.224
"3788","Yes",0,1738,0,19,0,1540,1602,1.186,0,96.13
"3789","No",0,265,0,0,0,243,248,0,0,97.984
"3791","No",1,1437,69.59,12,0,1351,1371,0.875,0,98.541
"3792","No",0,1065,0,8,0,960,966,0.828,0,99.379
"3793","Yes",1,3577,27.96,63,7,3285,3374,1.867,0.207,97.362
"3795","No",0,1246,0,7,0,1107,1132,0.618,0,97.792
"3796","Yes",3,9702,30.92,166,0,8934,9137,1.817,0,97.778
"3802","Yes",57,24298,234.59,2524,9,20733,23293,10.836,0.039,89.01
"3803","Yes",57,10855,525.1,1565,11,8708,10303,15.19,0.107,84.519
"3804","Yes",8,8094,98.84,59,0,7466,7545,0.782,0,98.953
"3805","Yes",119,56933,209.02,2692,394,51548,54861,4.907,0.718,93.961
"3806","Yes",50,48520,103.05,3209,297,42906,46484,6.903,0.639,92.303
"3807","Yes",10,7097,140.9,500,4,6233,6795,7.358,0.059,91.729
"3808","Yes",2,3033,65.94,0,5,2714,2737,0,0.183,99.16
"3809","Yes",32,7210,443.83,672,0,6265,6955,9.662,0,90.079
"3810","Yes",49,47894,102.31,3416,113,41509,45179,7.561,0.25,91.877
"3910","Yes",24,22588,106.25,2016,151,19056,21377,9.431,0.706,89.143
"3911","Yes",2,3414,58.58,122,0,3011,3142,3.883,0,95.831
"3912","Yes",11,15157,72.57,1208,57,12819,14158,8.532,0.403,90.542
"3913","Yes",1,3338,29.96,217,0,2939,3170,6.845,0,92.713
"3915","Yes",2,9960,20.08,1455,26,7630,9162,15.881,0.284,83.279
"3916","No",0,955,0,0,12,741,758,0,1.583,97.757
"3918","Yes",2,3705,53.98,141,3,3290,3449,4.088,0.087,95.39
"3919","Yes",2,3183,62.83,370,20,2573,2969,12.462,0.674,86.662
"3920","No",2,1040,192.31,0,0,232,232,0,0,100
"3926","Yes",0,3242,0,19,3,2867,2898,0.656,0.104,98.93
"3927","Yes",4,1667,239.95,0,0,1450,1451,0,0,99.931
"3928","No",1,416,240.38,0,0,355,357,0,0,99.44
"3929","No",7,905,773.48,0,13,737,757,0,1.717,97.358
"3930","Yes",9,17888,50.31,417,389,15740,16576,2.516,2.347,94.957
"3931","Yes",14,23989,58.36,1304,3231,16980,21711,6.006,14.882,78.209
"3933","No",2,1098,182.15,3,0,965,972,0.309,0,99.28
"3934","Yes",13,18548,70.09,1616,34,15383,17081,9.461,0.199,90.059
"3936","Yes",4,11024,36.28,1406,96,8224,9940,14.145,0.966,82.736
"3937","Yes",0,1524,0,0,0,1294,1304,0,0,99.233
"3938","Yes",0,2823,0,118,3,2395,2523,4.677,0.119,94.927
"3939","Yes",5,14524,34.43,611,317,12243,13234,4.617,2.395,92.512
"3940","Yes",3,4930,60.85,847,49,3142,4154,20.39,1.18,75.638
"3941","Yes",4,12172,32.86,320,23,10466,10894,2.937,0.211,96.071
"3942","Yes",4,2313,172.94,9,5,1889,1904,0.473,0.263,99.212
"3943","Yes",7,1592,439.7,18,12,1221,1262,1.426,0.951,96.751
"3944","No",5,510,980.39,16,9,314,338,4.734,2.663,92.899
"3975","Yes",30,15248,196.75,617,63,13834,14534,4.245,0.433,95.184
"3976","Yes",59,25530,231.1,1078,68,22999,24216,4.452,0.281,94.974
"3977","Yes",133,93326,142.51,8135,707,79856,88817,9.159,0.796,89.911
