"Postcode","Include","Confirmed cases (ever)","Population","Cases.per.100K","Under.500","Under.500.Percent","Age.15.Over.not.Nil.or.Negative"
"3805","Yes",119,56933,209.02,12236,34.39,35579
"3806","Yes",50,48520,103.05,9416,30.47,30900
"3807","Yes",10,7097,140.9,1450,30.72,4720
"3808","Yes",2,3033,65.94,505,26.21,1927
"3809","Yes",32,7210,443.83,1101,23.67,4651
"3810","Yes",49,47894,102.31,9856,33.31,29592
"3910","Yes",24,22588,106.25,4789,31.04,15429
"3911","Yes",2,3414,58.58,795,34.12,2330
"3912","Yes",11,15157,72.57,3452,33.56,10285
"3913","Yes",1,3338,29.96,772,33.26,2321
"3915","Yes",2,9960,20.08,2894,43.26,6690
"3916","No",0,955,0,162,25.23,642
"3918","Yes",2,3705,53.98,840,34.36,2445
"3919","Yes",2,3183,62.83,839,39.37,2131
"3920","No",2,1040,192.31,27,2.92,926
"3926","Yes",0,3242,0,683,30.53,2237
"3927","Yes",4,1667,239.95,366,31.74,1153
"3928","No",1,416,240.38,71,24.32,292
"3929","No",7,905,773.48,160,24.06,665
"3930","Yes",9,17888,50.31,3439,29.16,11794
"3931","Yes",14,23989,58.36,6121,36.23,16894
"3933","No",2,1098,182.15,235,32.1,732
"3934","Yes",13,18548,70.09,3699,30.1,12288
"3936","Yes",4,11024,36.28,3044,38.78,7850
"3937","Yes",0,1524,0,294,28.35,1037
"3938","Yes",0,2823,0,758,36.48,2078
"3939","Yes",5,14524,34.43,4584,44.51,10298
"3940","Yes",3,4930,60.85,1739,50.12,3470
"3941","Yes",4,12172,32.86,3454,41.55,8312
"3942","Yes",4,2313,172.94,622,37.09,1677
"3943","Yes",7,1592,439.7,387,31.9,1213
"3944","No",5,510,980.39,76,19,400
"3975","Yes",30,15248,196.75,2326,26.75,8696
"3976","Yes",59,25530,231.1,5622,37.29,15076
"3977","Yes",133,93326,142.51,17515,30.74,56976
